id,urls,price,title,details,genre
1,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_topsellers_150_1,$19.99 ,Risk of Rain 2,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']","['Action', 'Indie', 'Early Access']"
2,https://store.steampowered.com/app/751780/Forager/?snr=1_7_7_topsellers_150_1,$19.99 ,Forager,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Adventure', 'Indie', 'Simulation']"
3,https://store.steampowered.com/app/976310/Mortal_Kombat11/?snr=1_7_7_topsellers_150_1,$59.99 ,Mortal Kombat 11,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']",['Action']
4,https://store.steampowered.com/app/582010/MONSTER_HUNTER_WORLD/?snr=1_7_7_topsellers_150_1,$39.59 ,MONSTER HUNTER: WORLD,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",['Action']
5,https://store.steampowered.com/app/883710/RESIDENT_EVIL_2__BIOHAZARD_RE2/?snr=1_7_7_topsellers_150_1,$39.59 ,RESIDENT EVIL 2 / BIOHAZARD RE:2,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",['Action']
6,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_topsellers_150_1,$14.99 ,Totally Accurate Battle Simulator,['Single-player'],"['Indie', 'Simulation', 'Strategy', 'Early Access']"
7,https://store.steampowered.com/app/859580/Imperator_Rome/?snr=1_7_7_topsellers_150_1,$39.99 ,Imperator: Rome,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Simulation', 'Strategy']"
8,https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice/?snr=1_7_7_topsellers_150_1,$59.99 ,Sekiroa: Shadows Die Twice,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Adventure']"
9,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_topsellers_150_1,$29.99 ,Grand Theft Auto V,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support']","['Action', 'Adventure']"
10,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_topsellers_150_1,$34.99 ,Rust,"['Multi-player', 'Online Multi-Player', 'MMO', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']"
11,https://store.steampowered.com/app/794260/Outward/?snr=1_7_7_topsellers_150_1,$39.99 ,Outward,"['Single-player', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Stats']",['RPG']
12,https://store.steampowered.com/sub/349553/?snr=1_7_7_topsellers_150_1,$34.99 ,PUBG: Survivor Pass 3 Bundle,"['Multi-player', 'Online Multi-Player', 'Downloadable Content', 'Stats']","['Action', 'Adventure', 'Massively Multiplayer']"
13,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_topsellers_150_1,$19.99 ,ARK: Survival Evolved,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']"
14,https://store.steampowered.com/app/253230/A_Hat_in_Time/?snr=1_7_7_topsellers_150_1,$14.99 ,A Hat in Time,"['Single-player', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor']","['Adventure', 'Indie']"
15,https://store.steampowered.com/app/947510/Sid_Meiers_Civilization_VI_Gathering_Storm/?snr=1_7_7_topsellers_150_1,$39.99 ,Sid Meier's Civilization VI: Gathering Storm,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",['Strategy']
16,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_topsellers_150_1,$19.99 ,Northgard,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Indie', 'Simulation', 'Strategy']"
17,https://store.steampowered.com/app/418370/RESIDENT_EVIL_7_biohazard__BIOHAZARD_7_resident_evil/?snr=1_7_7_topsellers_150_1,$14.99 ,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Adventure']"
18,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_topsellers_150_1,$14.99 ,Stardew Valley,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']","['Indie', 'RPG', 'Simulation']"
